,SMILES,Value
0,CC[SiH](CC)CC,4981
1,CCC[Si](CCC)CCC,6822
2,CCCC[Si](CCCC)CCCC,8663
3,CCCCC[SiH](CCCCC)CCCCC,10502
4,CCCCCC[Si](CCCCCC)CCCCCC,12341
5,CCCCCCC[SiH](CCCCCCC)CCCCCCC,14178
6,CCCCCCCC[Si](CCCCCCCC)CCCCCCCC,16019
7,CCCCCCCCCC[SiH](CCCCCCCCCC)CCCCCCCCCC,19720
8,CC(C)C[Si](CC(C)C)CC(C)C,8652
9,CCC[Si](CCC)(CCC)CCC,8627
10,C=C[Si](C=C)(C=C)C=C,5414
11,C1=CC=C(C=C1)O[Si](OC2=CC=CC=C2)(OC3=CC=CC=C3)OC4=CC=CC=C4,11830
12,CCCO[Si](OCCC)(OCCC)OCCC,7600
13,CCCCO[Si](OCCCC)(OCCCC)OCCCC,10054
14,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,9148
15,CO[Si](OC)OC,2347.5
16,CO[Si](OC)(OC)OC,2665
17,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,5743
18,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,7421
19,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,9682.4
20,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,11486
21,C1=CC=C(C=C1)[Si]2(O[Si](O[Si](O[Si](O2)(C3=CC=CC=C3)C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9,26694
22,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(O)O,6333
23,CO[Si](C)(C)OC,3178.5
24,C1=CC=C(C=C1)[Si]2(O[Si](O[Si](O2)(C3=CC=CC=C3)C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC=C7,19474
25,CC[Si](CC)(O)O,3009
26,C[Si](C)(C)Cl,2794.3
27,C[Si](C)Cl,2240.5
28,C[Si](Cl)Cl,1396.5
29,C[Si](C)(Cl)Cl,1980.5
30,C[Si](C)(C)N[Si](C)(C)C,6021
31,C[Si](C)(C)N([Si](C)(C)C)[Si](C)(C)C,8902
32,CCCCS[Si](C)(C)C,5789
33,C[Si](C)(C)I,2971
34,F[Si](F)(F)F,-705.5
35,C[SiH3],1999
36,[Si]#[Si],2620
37,C[Si](C1=CC=CC=C1)(Cl)Cl,4272
38,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,3391
39,CO[Si](CCCCl)(OC)OC,4395
40,CC[Si](CC)(Cl)Cl,3205
41,[SiH2](Cl)Cl,830.8
42,C[SiH2]C,2569
43,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,6600
44,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,10740
45,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,18330
46,CO[Si](CCCOCC1CO1)(OC)OC,5930
47,CC[Si](Cl)(Cl)Cl,1671
48,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)C,15000
49,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,14660
50,C[Si](Cl)(Cl)Cl,1064
51,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,16490
52,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,7254.6
53,[SiH4],1427
54,[Si](Cl)(Cl)(Cl)Cl,217
55,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,12800
56,CCO[Si](OCC)(OCC)OCC,5069
57,[SiH](Cl)(Cl)Cl,507.3
58,C[SiH](C)C,3136
59,C[Si](C)(C)O,2755
60,C=C[Si](Cl)(Cl)Cl,1544
61,CO[Si](C=C)(OC)OC,3493
62,CCO[Si](CCCN)(OCC)OCC,6260
63,CCO[Si](CSCC)(OCC)OCC,6355
64,COCCO[Si](C=C)(OCCOC)OCCOC,7014
65,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,23800
66,CC(=C)C(=O)OCCC[Si](Cl)(Cl)Cl,4074
67,[Si],905.5
68,CCO[Si](CCC#N)(OCC)OCC,5763
69,CO[Si](CCCS)(OC)OC,4562
70,C[SiH2]Cl,1693